DepDelay,Origin,Dest,CRSDepTime,Distance,ArrDel15,ArrDelay,DepHour
0.0,ORD,SRQ,804,1050.0,0.0,-8.0,8
0.0,HNL,ITO,955,216.0,0.0,-1.0,9
0.0,PHL,ORD,1400,678.0,0.0,-26.0,14
-8.0,LAS,CVG,933,1678.0,1.0,25.0,9
125.0,CLT,CVG,1337,335.0,1.0,117.0,13
-3.0,SJC,SAN,1850,417.0,0.0,-1.0,18
-11.0,DLH,MSP,1735,144.0,0.0,-28.0,17
-10.0,ABE,MYR,1000,518.0,0.0,9.0,10
-2.0,SMF,DEN,2000,909.0,0.0,-19.0,20
13.0,PHL,MDW,1635,668.0,0.0,1.0,16
3.0,BNA,CHS,1945,439.0,1.0,16.0,19
36.0,DCA,MCI,1250,949.0,1.0,47.0,12
-3.0,DAL,ATL,1336,721.0,0.0,-9.0,13
-6.0,SAT,DEN,530,794.0,0.0,-16.0,5
37.0,IAH,STT,948,2070.0,1.0,24.0,9
-2.0,TUS,DFW,942,813.0,0.0,-18.0,9
239.0,SEA,IAD,1240,2306.0,1.0,214.0,12
-8.0,DCA,DAY,2005,391.0,0.0,-24.0,20
16.0,PHX,SEA,1353,1107.0,0.0,-1.0,13
2.0,DEN,RDM,1918,898.0,0.0,-7.0,19
-7.0,ORD,DCA,900,612.0,0.0,11.0,9
3.0,OAK,LAS,1405,407.0,0.0,-4.0,14
-7.0,JAN,CLT,710,562.0,0.0,-10.0,7
-4.0,JAX,BWI,725,663.0,0.0,-15.0,7
-4.0,BZN,DEN,1030,524.0,1.0,25.0,10
-10.0,DEN,PHX,600,602.0,0.0,-7.0,6
14.0,CVG,MYR,1247,489.0,0.0,7.0,12
-5.0,TPA,PHL,1022,920.0,0.0,-19.0,10
-7.0,CRW,ATL,600,363.0,0.0,-23.0,6
223.0,ATL,STL,2040,484.0,1.0,208.0,20
-10.0,MSP,PHX,505,1276.0,0.0,-13.0,5
37.0,PHL,CLT,1811,449.0,1.0,61.0,18
-6.0,MSP,JFK,705,1029.0,0.0,-38.0,7
-2.0,ORD,DSM,1555,299.0,0.0,-12.0,15
-5.0,SFO,PDX,825,550.0,0.0,-23.0,8
-3.0,TPA,MSY,655,488.0,0.0,-8.0,6
15.0,MSP,FAR,850,223.0,0.0,-2.0,8
-7.0,LAX,MCO,1032,2218.0,0.0,-15.0,10
-7.0,OGG,HNL,1045,100.0,0.0,-6.0,10
5.0,BNA,DAL,900,623.0,0.0,-15.0,9
-5.0,OKC,DCA,1215,1158.0,0.0,-17.0,12
-4.0,RNO,LGB,715,402.0,0.0,-6.0,7
-7.0,MEM,ATL,1523,332.0,0.0,-16.0,15
-8.0,JFK,PIT,1350,340.0,0.0,-29.0,13
7.0,DCA,ATL,2055,547.0,0.0,-9.0,20
338.0,SLC,MSP,809,991.0,1.0,329.0,8
-8.0,IND,ATL,719,432.0,0.0,-2.0,7
-8.0,BHM,MIA,610,661.0,0.0,-3.0,6
10.0,FLL,MCI,755,1242.0,1.0,24.0,7
35.0,DFW,RDU,1130,1061.0,1.0,15.0,11
10.0,DTW,RIC,1434,456.0,1.0,26.0,14
-3.0,AUS,PHX,1635,872.0,0.0,-10.0,16
-10.0,AUS,ORD,800,977.0,0.0,-27.0,8
-14.0,DEN,FSD,2058,483.0,0.0,-26.0,20
16.0,MRY,DFW,1410,1430.0,0.0,9.0,14
-13.0,HPN,ACK,859,191.0,0.0,-18.0,8
-3.0,DFW,BMI,1326,690.0,0.0,-4.0,13
14.0,DTW,GRR,1620,120.0,0.0,7.0,16
31.0,MCO,JFK,1550,944.0,0.0,6.0,15
4.0,BOS,PHL,1645,280.0,1.0,16.0,16
29.0,BNA,DTW,1105,456.0,1.0,22.0,11
110.0,AUS,JFK,1328,1521.0,1.0,112.0,13
-4.0,CLT,VPS,2021,460.0,0.0,-12.0,20
31.0,ATL,OMA,1545,821.0,1.0,28.0,15
68.0,MSP,DEN,905,680.0,1.0,51.0,9
9.0,ORD,CLT,2040,599.0,0.0,-1.0,20
-1.0,BTV,ATL,602,961.0,0.0,-22.0,6
-6.0,PHX,MCI,853,1044.0,0.0,-26.0,8
-4.0,DFW,TRI,1407,868.0,0.0,6.0,14
-3.0,RIC,DFW,1909,1158.0,0.0,-17.0,19
-5.0,ATL,BWI,610,577.0,0.0,-17.0,6
-2.0,COU,DFW,1520,490.0,0.0,-7.0,15
1.0,LAX,MIA,2314,2342.0,0.0,8.0,23
-5.0,DEN,LGA,1735,1620.0,0.0,-38.0,17
-12.0,LAX,IAH,549,1379.0,0.0,-15.0,5
4.0,LGB,PHX,905,355.0,0.0,-2.0,9
-2.0,DTW,SLC,1215,1481.0,0.0,-28.0,12
-1.0,BDL,ATL,1617,859.0,0.0,5.0,16
-12.0,PDX,SNA,1130,859.0,0.0,-12.0,11
-6.0,ATL,ORD,1059,606.0,0.0,-12.0,10
-5.0,STL,DFW,540,550.0,0.0,3.0,5
24.0,LAX,ORD,946,1744.0,0.0,10.0,9
-3.0,FWA,DFW,721,859.0,0.0,-21.0,7
1.0,BOS,EWR,1645,200.0,0.0,0.0,16
35.0,PIE,GRR,1433,1044.0,1.0,32.0,14
49.0,CID,AZA,1241,1240.0,1.0,45.0,12
21.0,LAX,MIA,2045,2342.0,0.0,3.0,20
39.0,MCO,IAD,1623,758.0,1.0,113.0,16
12.0,SAT,DFW,700,247.0,0.0,3.0,7
-10.0,PDX,LAX,635,834.0,0.0,-3.0,6
-2.0,FLL,IAH,850,966.0,0.0,-4.0,8
-2.0,DAL,MAF,2200,319.0,0.0,-17.0,22
-4.0,STL,MCO,1335,882.0,0.0,-19.0,13
74.0,MCO,SJU,830,1189.0,1.0,57.0,8
71.0,MSP,BIL,2154,748.0,1.0,84.0,21
60.0,CLE,BNA,2035,448.0,1.0,53.0,20
32.0,SLC,GEG,1549,546.0,1.0,31.0,15
-3.0,SEA,BNA,1745,1978.0,0.0,3.0,17
39.0,JAX,DCA,1157,634.0,1.0,30.0,11
17.0,ONT,LAS,1345,197.0,0.0,-1.0,13
-6.0,SEA,BOS,1545,2496.0,0.0,11.0,15
-7.0,CLT,MIA,1808,650.0,0.0,-15.0,18
-9.0,DFW,MFE,835,469.0,0.0,-13.0,8
36.0,LAS,RDU,1735,2026.0,1.0,21.0,17
-3.0,AZA,ATW,953,1452.0,0.0,-14.0,9
4.0,FLL,IAH,1851,966.0,0.0,3.0,18
56.0,LAX,SLC,2059,590.0,1.0,38.0,20
1.0,SAN,DAL,1120,1182.0,0.0,-1.0,11
-4.0,BHM,DFW,1746,597.0,0.0,-6.0,17
-4.0,SEA,JNU,735,909.0,0.0,-16.0,7
-4.0,DFW,ATL,2049,731.0,0.0,-2.0,20
-9.0,AUS,MSY,909,444.0,0.0,-3.0,9
19.0,SAN,SJC,2000,417.0,1.0,16.0,20
-3.0,LAS,RNO,630,345.0,0.0,-12.0,6
44.0,PSC,SFO,1337,620.0,1.0,95.0,13
17.0,DFW,JFK,1110,1391.0,1.0,51.0,11
-3.0,LAS,STL,1850,1371.0,0.0,1.0,18
143.0,PWM,BWI,535,452.0,1.0,126.0,5
-8.0,AUS,CVG,955,958.0,0.0,-2.0,9
-6.0,EWR,RSW,959,1068.0,0.0,-25.0,9
-10.0,PIT,ORD,850,413.0,0.0,-6.0,8
-1.0,ITO,HNL,600,216.0,0.0,6.0,6
11.0,SFO,PHX,1459,651.0,0.0,7.0,14
38.0,ATL,BOS,740,946.0,1.0,22.0,7
-4.0,ANC,SEA,600,1448.0,0.0,-21.0,6
-7.0,STL,CMH,835,409.0,0.0,-18.0,8
2.0,LAX,DEN,500,862.0,0.0,-13.0,5
-5.0,DTW,HPN,716,505.0,0.0,-13.0,7
-8.0,TPA,LGA,1111,1010.0,0.0,-30.0,11
-10.0,SAN,RDM,1310,823.0,0.0,-21.0,13
-3.0,ATL,BDL,1111,859.0,0.0,-13.0,11
12.0,IAH,ORD,2056,925.0,0.0,-1.0,20
10.0,IND,ORD,1918,177.0,0.0,7.0,19
-4.0,MCO,IAH,1407,854.0,0.0,-2.0,14
0.0,TPA,ATL,814,406.0,0.0,-1.0,8
-1.0,LAS,IAH,815,1222.0,0.0,-16.0,8
11.0,BWI,PHX,2000,1999.0,0.0,-4.0,20
-5.0,ALB,DTW,934,489.0,0.0,-21.0,9
41.0,ORD,ATL,2115,606.0,1.0,69.0,21
-1.0,CMH,LGA,1840,479.0,0.0,-12.0,18
-4.0,LGA,BGM,1349,147.0,0.0,-15.0,13
14.0,AUS,MAF,1955,294.0,1.0,17.0,19
20.0,LAX,LAS,2000,236.0,1.0,31.0,20
105.0,ATL,FLL,1434,581.0,1.0,98.0,14
87.0,ATL,MGM,1304,147.0,1.0,92.0,13
-2.0,PHX,SEA,1959,1107.0,0.0,-30.0,19
2.0,LAX,EWR,1300,2454.0,0.0,13.0,13
3.0,MEM,ATL,700,332.0,0.0,-1.0,7
847.0,DFW,PHL,2041,1303.0,1.0,843.0,20
50.0,LGA,BOS,1200,184.0,1.0,37.0,12
-5.0,SAN,CLT,2125,2077.0,0.0,-10.0,21
-8.0,AUS,ATL,1743,813.0,0.0,0.0,17
-5.0,DCA,JFK,1338,213.0,0.0,-6.0,13
-6.0,CMH,DTW,610,155.0,0.0,-12.0,6
20.0,MCO,PHX,1409,1849.0,0.0,1.0,14
-4.0,CAE,ORD,645,666.0,0.0,-12.0,6
-2.0,ORD,BWI,1035,622.0,0.0,-8.0,10
61.0,LAX,ORD,700,1744.0,1.0,48.0,7
-12.0,LAX,MIA,1043,2342.0,0.0,-8.0,10
-7.0,TPA,MSP,1145,1306.0,0.0,-23.0,11
-1.0,HOU,LAX,535,1390.0,0.0,6.0,5
28.0,DEN,TPA,59,1506.0,1.0,24.0,0
90.0,BOI,LAS,1630,519.0,1.0,75.0,16
-8.0,CLE,DEN,854,1201.0,0.0,-12.0,8
2.0,DEN,MCO,600,1546.0,0.0,-27.0,6
-5.0,ALB,DCA,520,318.0,0.0,-15.0,5
56.0,ORD,BUF,1010,474.0,1.0,48.0,10
2.0,RIC,ATL,555,481.0,0.0,-17.0,5
4.0,DEN,OKC,1427,495.0,0.0,7.0,14
-7.0,HNL,LIH,815,102.0,0.0,-3.0,8
-8.0,SEA,ORD,2350,1721.0,0.0,0.0,23
-1.0,IND,TPA,525,837.0,0.0,-10.0,5
-9.0,CMH,JFK,1230,483.0,0.0,-11.0,12
-6.0,LAX,MRY,1829,266.0,0.0,6.0,18
5.0,GEG,SEA,1720,224.0,0.0,-9.0,17
49.0,SFO,LAS,1630,414.0,1.0,32.0,16
-10.0,CSG,ATL,1230,83.0,0.0,-20.0,12
15.0,SRQ,EWR,1833,1034.0,0.0,8.0,18
5.0,BNA,ORD,1158,409.0,0.0,-2.0,11
-6.0,RDU,DCA,1430,227.0,0.0,-35.0,14
-10.0,AUS,LAX,1430,1242.0,0.0,-22.0,14
-5.0,DEN,SGF,955,637.0,0.0,5.0,9
-1.0,ABQ,DAL,515,580.0,0.0,-15.0,5
-2.0,RDU,IAD,1508,224.0,0.0,2.0,15
-1.0,LGA,FLL,1155,1076.0,0.0,-13.0,11
-4.0,ROC,CLT,1208,573.0,0.0,3.0,12
8.0,DTW,HNL,1230,4475.0,0.0,5.0,12
-4.0,LAX,PHL,635,2402.0,0.0,-6.0,6
36.0,DEN,RDU,1748,1436.0,1.0,53.0,17
-7.0,CVG,SFB,900,735.0,0.0,-8.0,9
4.0,PSP,BLI,1735,1078.0,0.0,-1.0,17
-10.0,BOS,PIT,712,496.0,0.0,-29.0,7
0.0,ATL,ORD,700,606.0,0.0,-5.0,7
-6.0,EVV,VPS,2127,524.0,0.0,-13.0,21
-10.0,BNA,DTW,1757,456.0,0.0,-25.0,17
2.0,EWR,RDU,1500,416.0,0.0,-4.0,15
10.0,SAN,SFO,1050,447.0,1.0,23.0,10
15.0,FLL,BWI,1620,925.0,0.0,5.0,16
45.0,BNA,ORD,954,409.0,1.0,75.0,9
-6.0,SEA,SAN,1525,1050.0,0.0,-20.0,15
-1.0,ORD,IAH,1545,925.0,0.0,-7.0,15
-7.0,PHX,DEN,916,602.0,0.0,-19.0,9
47.0,MCI,MSY,1540,689.0,1.0,63.0,15
2.0,MIA,ATL,1948,594.0,0.0,-4.0,19
-7.0,CLT,IND,1900,427.0,0.0,-18.0,19
-5.0,DFW,COS,1854,592.0,0.0,-12.0,18
12.0,LGA,BOS,2159,184.0,0.0,5.0,21
98.0,LIT,ORD,1625,552.0,1.0,86.0,16
-5.0,TPA,ATL,953,406.0,0.0,-13.0,9
-8.0,GRR,ORD,612,137.0,0.0,-28.0,6
0.0,CLT,FLL,1440,632.0,0.0,-15.0,14
12.0,SLC,PDX,800,630.0,0.0,-16.0,8
418.0,RSW,BOS,1110,1249.0,1.0,386.0,11
8.0,SFO,BOS,1315,2704.0,0.0,-35.0,13
-9.0,AUS,SEA,730,1770.0,0.0,-11.0,7
91.0,CLT,LGA,700,544.0,1.0,86.0,7
-4.0,BOS,MSP,810,1124.0,0.0,-19.0,8
-5.0,ATL,TLH,1229,223.0,0.0,-16.0,12
13.0,HOU,DEN,1750,883.0,0.0,5.0,17
-7.0,SMF,SEA,1439,605.0,0.0,-20.0,14
-2.0,ATL,RIC,1015,481.0,0.0,-7.0,10
11.0,DSM,DEN,2015,589.0,0.0,11.0,20
-5.0,TVC,DTW,600,207.0,0.0,-19.0,6
0.0,ORD,EWR,600,719.0,0.0,-13.0,6
-3.0,LAX,SFO,2215,337.0,0.0,-10.0,22
1.0,CVG,LAX,639,1900.0,0.0,-14.0,6
23.0,EWR,CHS,2135,628.0,0.0,5.0,21
-3.0,DEN,SLC,838,391.0,0.0,-20.0,8
0.0,BHM,HOU,530,570.0,0.0,-6.0,5
-6.0,HRL,DFW,1110,461.0,0.0,-22.0,11
69.0,DEN,MDW,1722,895.0,1.0,71.0,17
25.0,CMH,LGA,600,479.0,1.0,31.0,6
0.0,MSP,OMA,901,282.0,1.0,24.0,9
-8.0,CLT,AGS,1100,140.0,0.0,-10.0,11
-1.0,DEN,SJC,1925,948.0,0.0,-20.0,19
-1.0,ORD,SAV,730,773.0,0.0,-3.0,7
-11.0,DEN,CLT,700,1337.0,0.0,-12.0,7
-2.0,PSP,PHX,1355,261.0,0.0,-11.0,13
22.0,PHX,SMF,2115,647.0,1.0,19.0,21
157.0,DEN,ORD,2103,888.0,1.0,141.0,21
-5.0,SAN,SJC,700,417.0,0.0,10.0,7
22.0,MSP,MDW,1208,349.0,1.0,23.0,12
-8.0,SFO,ORD,640,1846.0,1.0,27.0,6
-10.0,PIT,BOS,1135,496.0,0.0,-18.0,11
45.0,CLT,JAX,2235,328.0,1.0,32.0,22
-1.0,AVL,MIA,1638,677.0,0.0,6.0,16
2.0,MCO,BNA,1600,616.0,0.0,6.0,16
-3.0,DCA,BDL,722,313.0,0.0,-10.0,7
76.0,DEN,HSV,1731,1048.0,1.0,108.0,17
-8.0,CLT,BWI,1336,361.0,0.0,-14.0,13
-1.0,DFW,CID,1039,685.0,0.0,-28.0,10
-9.0,ELM,DTW,610,332.0,0.0,-13.0,6
-3.0,RNO,DEN,1332,804.0,0.0,-18.0,13
-8.0,MDW,CVG,1945,249.0,0.0,-21.0,19
28.0,STL,BNA,1740,272.0,1.0,19.0,17
-6.0,SMF,LAX,615,373.0,0.0,-21.0,6
-10.0,PHX,LAS,2210,255.0,0.0,-22.0,22
-3.0,TPA,MDW,1725,997.0,0.0,-19.0,17
-1.0,ORD,GRB,900,173.0,0.0,9.0,9
188.0,DEN,CID,1735,692.0,1.0,187.0,17
-7.0,OGG,HNL,920,100.0,0.0,-16.0,9
-1.0,BWI,SFO,1845,2457.0,0.0,-11.0,18
-1.0,ATL,RDU,1640,356.0,0.0,-5.0,16
137.0,RIC,BOS,1620,474.0,1.0,133.0,16
4.0,XNA,DFW,1105,280.0,0.0,0.0,11
-6.0,BOS,MIA,700,1258.0,0.0,-30.0,7
-3.0,ATL,SDF,820,321.0,0.0,-2.0,8
0.0,CLT,RDU,1438,130.0,0.0,-8.0,14
11.0,ITO,HNL,1740,216.0,0.0,13.0,17
-9.0,ALB,DCA,1746,318.0,0.0,-14.0,17
23.0,ATL,PBI,1516,545.0,1.0,24.0,15
-5.0,FLL,BWI,830,925.0,0.0,-14.0,8
-4.0,IAH,SAT,1420,191.0,0.0,-10.0,14
-4.0,ORD,BDL,1832,783.0,0.0,-6.0,18
16.0,CLT,ORF,1826,290.0,0.0,3.0,18
8.0,DEN,PDX,1210,991.0,0.0,-1.0,12
-8.0,BOI,SFO,615,522.0,0.0,-27.0,6
18.0,IAD,DFW,1705,1172.0,1.0,39.0,17
205.0,ANC,SEA,1000,1448.0,1.0,199.0,10
-8.0,FSM,DFW,1020,227.0,0.0,4.0,10
-6.0,COS,DFW,600,592.0,1.0,22.0,6
-11.0,PDX,SMF,2015,479.0,0.0,-30.0,20
29.0,EWR,EYW,1727,1196.0,1.0,41.0,17
